,employeeID,firstName,lastName,phone,ssn,salary,occupation,rating
0,1,Joseph,Avila,(723)994-2069,243-24-7849,60000,Waiter,5
1,2,Bailey,Gray,(589)185-1918,485-78-0762,60000,Waiter,5
2,3,Molly,Cooper,(801)347-2516,061-70-8553,60000,Waiter,5
3,4,Calvin,Green,(680)852-5000,207-66-3182,60000,Waiter,5
4,5,Julie,Gonzalez,(728)675-9196,014-40-6080,60000,Waiter,5
5,6,Dwayne,Craig,(564)556-4824,768-56-2830,60000,Waiter,5
6,7,Phyllis,Simmons,(104)955-7538,172-10-2608,60000,Waiter,5
7,8,April,Torres,(591)807-9083,106-56-1224,60000,Waiter,5
8,9,April,Morgan,(975)937-8453,206-40-0183,60000,Waiter,5
9,10,Grant,Johnson,(819)963-2554,143-64-7072,60000,Waiter,5
10,11,Melissa,Anderson,(275)907-3446,131-18-4571,90000,Chef,5
11,12,Meredith,Torres,(218)615-2541,629-23-9953,90000,Chef,5
12,13,Margaret,Freeman,(773)823-6263,779-16-7826,90000,Chef,5
13,14,Emily,Soto,(448)567-0297,792-06-4786,90000,Chef,5
14,15,Samuel,Jacobson,(642)336-8719,723-03-5606,90000,Chef,5
15,16,Chad,White,(858)625-3706,156-84-5935,90000,Chef,5
16,17,Bryan,Tucker,(381)750-4583,756-39-4600,90000,Chef,5
17,18,Amanda,Jones,(672)181-7800,700-76-1575,90000,Chef,5
18,19,Justin,Johnson,(855)406-2978,292-33-1036,90000,Chef,5
19,20,Elijah,Johnson,(641)057-8086,599-10-3880,90000,Chef,5
20,21,Nathan,Campbell,(538)549-5281,089-90-5921,120000,Manager,5
21,22,Christopher,Taylor,(386)009-8767,443-77-0127,120000,Manager,5
22,23,Brenda,Boyer,(343)785-5315,715-01-8980,120000,Manager,5
23,24,Benjamin,Ramirez,(225)379-0401,577-74-2776,120000,Manager,5
24,25,Jonathan,Gross,(266)521-8717,300-97-6471,120000,Manager,5
25,26,Nancy,Mcintyre,(623)187-1135,683-09-8650,120000,Manager,5
26,27,Daniel,Hogan,(394)632-3360,078-49-2848,120000,Manager,5
27,28,Calvin,Huynh,(112)422-0162,888-30-7914,120000,Manager,5
28,29,Anthony,Johnson,(403)163-8743,362-24-0467,120000,Manager,5
29,30,Jennifer,Garner,(563)673-2879,063-90-3888,120000,Manager,5
