,employeeID,ssn
0,1,260-16-5282
1,2,407-74-5021
2,3,627-61-9567
3,4,897-15-7415
4,5,427-99-1247
5,6,658-92-0965
6,7,776-52-0969
7,8,739-72-1639
8,9,195-35-6065
9,10,090-89-8292
10,11,793-94-5490
11,12,411-01-3063
12,13,729-05-0702
13,14,897-39-2966
14,15,395-32-3854
15,16,209-78-4957
16,17,641-23-6862
17,18,449-02-3453
18,19,768-60-6479
19,20,200-93-9200
20,21,305-18-4116
21,22,536-73-9135
22,23,696-79-4105
23,24,498-85-9109
24,25,135-07-4647
25,26,042-98-5685
26,27,722-95-4575
27,28,335-58-5283
28,29,268-21-9153
29,30,884-71-5559
